Scenario,Relationship,Seriousness,Tone,Excuse_Text,Believability_Score
Late to class,Academic,Medium,Formal,"My car wouldn't start this morning, and I had to take an alternate route that took a bit longer than usual.",3
Missed meeting,Professional,Medium,Apologetic,Here are the excuses:,4
Forgot anniversary,Romantic,Medium,Apologetic,"I was so focused on planning a surprise for you that it slipped my mind, and now it feels like the perfect opportunity to make it up to you.",4
Forgot birthday,Friend,High,Apologetic,I was so caught up in my own personal struggles that I forgot to even think about celebrating your special day.,5
Forgot birthday,Friend,Low,Casual,"I know this is going to sound crazy, but I had a major power outage at home last night and didn't get any notifications or reminders.",2
Missed exam,Academic,Low,Apologetic,"My car broke down on the way to campus and I got stuck in traffic, which caused me to miss the exam entirely.",1
Forgot birthday,Friend,Medium,Apologetic,"I swear, I would have never forgotten if I hadn't been stuck in that crazy traffic jam on the way to our usual spot for drinks.",2
Missed meeting,Professional,Low,Formal,"Traffic was a nightmare, and I got stuck in a jam that made me late for our meeting.",3
Missed exam,Academic,High,Emotional,"I got stuck in traffic due to an unexpected road closure, which made it impossible for me to get to campus on time.",5
Late project submission,Professional,High,Apologetic,"I've been working on a complex part of the project that required more time than anticipated, and I didn't want to compromise quality by rushing through it, so I'm submitting it late but with a high level of accuracy.",5
Late to class,Academic,High,Emotional,"I'm sorry I'm late, but my alarm clock didn't go off this morning and I had to rush to get dressed and out the door.",3
Cancelled date,Romantic,Medium,Casual,"I received an unexpected work call and need to take it ASAP, so sorry for the short notice.",4
Cancelled date,Romantic,High,Formal,My car broke down on the way home from work today and I won't have access to transportation tonight.,4
Didn’t attend family dinner,Family,Medium,Casual,"I was stuck at work and didn't get out until late, so I just grabbed something quick and didn't make it home in time for dinner.",4
Missed exam,Academic,Medium,Casual,I had to take care of a last-minute work project that came up over the weekend and it took priority over everything else.,4
Forgot anniversary,Romantic,High,Apologetic,"I know this sounds silly, but I got an email from my grandma reminding me of her birthday, which is actually today too, and it just went straight to the back of my mind.",4
Missed family event,Family,Low,Formal,"I'm so sorry I missed the family gathering, but I was caught in a sudden rainstorm on my way home from work and got stuck in traffic.",1
Forgot anniversary,Romantic,High,Formal,"The chaos at the office was overwhelming, and in the midst of it all, I simply forgot about today's special occasion.",4
Missed meeting,Professional,Medium,Formal,"Unfortunately, my internet connection failed suddenly, leaving me unable to participate in our virtual meeting and forcing me to reschedule for a later time.",3
Forgot anniversary,Romantic,Medium,Casual,"To be honest, I was really tired last night after the long day and just crashed without checking the calendar.",4
Missed family event,Family,Medium,Emotional,"I'm so sorry I missed your birthday party, but I got stuck in traffic and didn't realize it was that late until it was too late to turn around.",4
Cancelled date,Romantic,Low,Casual,I had a sudden case of food poisoning from last night's dinner and I don't want to risk getting you sick too.,3
Late project submission,Professional,High,Apologetic,"Unfortunately, I was stuck in a meeting that ran way longer than expected, and before I knew it, the deadline had passed, but I assure you I'll get it done as soon as possible.",5
Didn’t attend family dinner,Family,Low,Casual,"My neighbor's dog kept barking incessantly, and I just couldn't take it anymore â€“ I had to get away from all the noise.",2
Late to class,Academic,High,Formal,"I apologize for my tardiness, but I was unexpectedly held up by the unexpected closure of the library's parking lot, causing me to circle around the block multiple times before finding an alternative spot.",4
Missed family event,Family,High,Formal,I had an unexpected medical appointment that popped up at the last minute and I had to prioritize my health.,4
Missed meeting,Professional,Medium,Emotional,"My phone died during the morning rush hour, leaving me without a backup charger or access to a replacement device for the meeting.",2
Forgot anniversary,Romantic,High,Apologetic,I was trying out some new cooking recipes for dinner tonight and got so engrossed in the process that time flew by and I forgot all about our anniversary.,5
Cancelled date,Romantic,High,Formal,A close friend is moving away and we're having an impromptu farewell party that I need to attend.,4
Missed exam,Academic,High,Apologetic,"I had an unexpected appointment with my therapist that I couldn't reschedule, which took priority over attending the exam.",4
Forgot birthday,Friend,High,Formal,"To be honest, my phone's battery died right when your birthday message popped up, and by the time I got back to it, you had already moved on from celebrating.",4
Late to class,Academic,Medium,Casual,"My phone died overnight, and I didn't get the alarm clock reminder, so I slept right through it.",3
Missed exam,Academic,High,Emotional,"My grandmother passed away yesterday, and I needed to attend her funeral.",5
Cancelled date,Romantic,High,Emotional,"Something unexpected came up at work and I have to take care of it ASAP, or else the whole project is going to fall apart.",3
Late to class,Academic,Low,Casual,"My mom called me right as I was about to leave the house, and we ended up having a longer conversation than I anticipated.",2
Missed meeting,Professional,Medium,Casual,"My car broke down on the way here, I had to call a tow truck and deal with the situation before heading out.",2
